the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
talabani told him the governing council would " need un assistance and advice in implementing the new decisions which have been taken . "	talabani told him iraqi leaders would " need u.n. assistance and advice in implementing the new decisions which have been taken " on organising an interim iraqi government by june .	3.250
stanford ( 46-15 ) plays south carolina ( 44-20 ) today in a first-round game at rosenblatt stadium in omaha , neb. .	stanford ( 46-15 ) plays south carolina ( 44-20 ) on friday in the opening game of the double-elimination tournament .	3.333
the same survey a month ago had street leading katz 42 percent to 34 percent , with 21 percent undecided .	one month ago in the same poll , katz was leading 46 to 40 percent .	2.000
the broad standard & poor 's 500 index < . spx > advanced 11 points , or 1.25 percent , to 931 .	the standard & poor 's 500 index gained 10.89 , or 1.2 percent , to 931.12 as of 12:01 p.m. in new york .	3.000
" we are expending all available resources toward the investigation , " said assistant u.s. attorney todd greenberg , a counterterrorism prosecutor in seattle .	" we are aware of the situation , " said assistant us attorney todd greenberg , a counter-terrorism prosecutor in seattle .	2.667
but they do n't realize that until it 's too late ( of course ) because they 're potential victims in a horror movie .	but they do n't realize that until it 's too late ( of course ) because they 're potential victims .	3.667
arthur benson , attorney for the case 's plaintiff schoolchildren , said he will appeal .	an attorney for plaintiff schoolchildren said he plans to appeal .	3.667
the euro has slipped nearly four percent since matching a record peak of around $ 1.1935 only last week and hitting an all-time high of 140.90 yen in late may .	the euro has slipped as much as four cents since matching a record peak near $ 1.1935 last week and hitting a record high of 140.90 yen in late may .	4.333
pennsylvania , which has the most aggressive treatment program , is treating 548 of 8,030 inmates .	texas , which has more than three times michigan 's inmate population , is treating 328 of its 16,298 infected inmates .	1.333
the tech-loaded nasdaq composite rose 20.96 points to 1595.91 to end at its highest level for 12 months .	the technology-laced nasdaq composite index < . ixic > climbed 19.11 points , or 1.2 percent , to 1,615.02 .	2.200
the technology-laced nasdaq composite index . ixic shed 15 points , or 0.98 percent , to 1,492 .	the broader standard & poor 's 500 index < . spx > edged down 9 points , or 0.98 percent , to 921 .	1.200
with the expose feature , all open windows shrink to fit on the screen but are still clear enough to identify .	with the expose ( ex-poh-say ) feature , all the open windows on the desktop immediately shrink to fit on the screen but are still clear enough to identify .	4.400
instead , prosecutors dismissed charges and rucker left the courtroom a free man .	instead he left the courtroom a free man after authorities dismissed criminal charges .	3.400
" this case was both mentally challenging and emotionally exhausting , " said the foreman , jim wolfcale , a 41-year-old minister .	jim wolfcale , the jury foreman and a minister , said , " this case was both mentally challenging and emotionally exhausting . "	4.200
he arrives later this week on the first state visit by a us president .	mr bush arrives on tuesday on the first state visit by an american president .	3.000
the deal , approved by both companies ' board of directors , is expected to be completed in the third quarter of nvidia 's fiscal third quarter .	the acquisition has been approved by both companies ' board of directors and is expected to close in the third quarter this year .	3.400
the research firm earlier had forecast an increase of 4.9 percent .	the firm had predicted earlier this year a 4.9 percent increase .	4.800
the volatile mix could drag the session beyond the four days allotted by bush , said senate president jim king .	the senate might support capping noneconomic damages beyond the $ 250,000 gov. jeb bush proposes , said senate president jim king .	2.750
